chrom	exon_start	exon_end	gene	tx	exon	min	mean	max	10x	20x	30x	50x	100x
1	17380443	17380514	SDHB	NM_003000.2	1	36	45.85	64	100.0	100.0	100.0	29.58	0.0
1	17371256	17371383	SDHB	NM_003000.2	2	37	65.57	80	100.0	100.0	100.0	90.55	0.0
1	17359555	17359640	SDHB	NM_003000.2	3	72	90.27	101	100.0	100.0	100.0	100.0	4.71
1	17355095	17355231	SDHB	NM_003000.2	4	86	124.53	149	100.0	100.0	100.0	100.0	79.41
1	17354244	17354360	SDHB	NM_003000.2	5	64	101.88	119	100.0	100.0	100.0	100.0	67.24
1	17350468	17350569	SDHB	NM_003000.2	6	38	51.65	56	100.0	100.0	100.0	76.24	0.0
1	17349103	17349225	SDHB	NM_003000.2	7	62	93.64	116	100.0	100.0	100.0	100.0	40.98
1	17345376	17345453	SDHB	NM_003000.2	8	49	76.9	94	100.0	100.0	100.0	98.7	0.0
1	45805891	45805926	MUTYH	NM_001128425.1	1	30	40.11	49	100.0	100.0	97.14	0.0	0.0
1	45800063	45800183	MUTYH	NM_001128425.1	2	59	82.65	98	100.0	100.0	100.0	100.0	0.0
1	45799085	45799275	MUTYH	NM_001128425.1	3	23	44.0	52	100.0	100.0	98.42	3.68	0.0
1	45798957	45798996	MUTYH	NM_001128425.1	4	48	50.92	56	100.0	100.0	100.0	41.03	0.0
1	45798769	45798842	MUTYH	NM_001128425.1	5	44	60.14	66	100.0	100.0	100.0	87.67	0.0
1	45798590	45798631	MUTYH	NM_001128425.1	6	39	43.39	49	100.0	100.0	100.0	0.0	0.0
1	45798435	45798506	MUTYH	NM_001128425.1	7	45	53.25	57	100.0	100.0	100.0	83.1	0.0
1	45798246	45798359	MUTYH	NM_001128425.1	8	57	64.34	72	100.0	100.0	100.0	100.0	0.0
1	45798063	45798160	MUTYH	NM_001128425.1	9	49	56.51	64	100.0	100.0	100.0	87.63	0.0
1	45797838	45797982	MUTYH	NM_001128425.1	10	45	75.67	93	100.0	100.0	100.0	92.36	0.0
1	45797695	45797758	MUTYH	NM_001128425.1	11	55	64.81	72	100.0	100.0	100.0	100.0	0.0
1	45797333	45797521	MUTYH	NM_001128425.1	12	52	89.02	111	100.0	100.0	100.0	100.0	34.57
1	45797092	45797228	MUTYH	NM_001128425.1	13	63	87.14	105	100.0	100.0	100.0	100.0	6.62
1	45796854	45797006	MUTYH	NM_001128425.1	14	42	53.37	68	100.0	100.0	100.0	71.05	0.0
1	45796188	45796229	MUTYH	NM_001128425.1	15	105	110.2	116	100.0	100.0	100.0	100.0	100.0
1	45794978	45795109	MUTYH	NM_001128425.1	16	48	93.2	111	100.0	100.0	100.0	97.71	53.44
1	161284196	161284215	SDHC	NM_003001.3	1	77	79.68	81	100.0	100.0	100.0	100.0	0.0
1	161293404	161293460	SDHC	NM_003001.3	2	66	81.82	89	100.0	100.0	100.0	100.0	0.0
1	161298186	161298287	SDHC	NM_003001.3	3	51	86.95	102	100.0	100.0	100.0	100.0	8.91
1	161310384	161310445	SDHC	NM_003001.3	4	79	96.82	108	100.0	100.0	100.0	100.0	44.26
1	161326467	161326630	SDHC	NM_003001.3	5	32	55.4	72	100.0	100.0	100.0	76.07	0.0
1	161332119	161332223	SDHC	NM_003001.3	6	33	51.47	57	100.0	100.0	100.0	77.88	0.0
1	193091331	193091461	CDC73	NM_024529.4	1	52	80.21	93	100.0	100.0	100.0	100.0	0.0
1	193094242	193094347	CDC73	NM_024529.4	2	73	113.92	135	100.0	100.0	100.0	100.0	79.05
1	193099304	193099373	CDC73	NM_024529.4	3	93	116.42	130	100.0	100.0	100.0	100.0	85.51
1	193104521	193104583	CDC73	NM_024529.4	4	55	79.29	100	100.0	100.0	100.0	100.0	0.0
1	193104667	193104719	CDC73	NM_024529.4	5	95	99.31	106	100.0	100.0	100.0	100.0	30.77
